File	Mean	SE	Max	Min
CD207.Skin_Sun_Exposed_Lower_leg	-0.184111638746321	0.000367174912649556	0.129755	-0.947495
CDC42SE2.Skin_Not_Sun_Exposed_Suprapubic	-0.112808716045127	0.000245172123682772	0.0631707	-0.528038
CDCA4.Cells_Cultured_fibroblasts	0.0125632262602934	0.000216185312360951	0.522862	-0.348135
CDCA4.Whole_Blood	-0.129342889937533	0.000222358063738067	0.147234	-0.606288
CDK2AP1.Cells_Cultured_fibroblasts	-0.874314574110488	0.00179866046592926	1.96447	-4.3473
CDK2AP1.Skin_Not_Sun_Exposed_Suprapubic	-0.266749122692047	0.000903709555494901	1.03538	-1.99044
CDK2AP1.Skin_Sun_Exposed_Lower_leg	-0.256782929896317	0.000980166926390857	1.52002	-2.0715
CEP19.Whole_Blood	-0.405758684586795	0.000803371345023278	0.778106	-1.4492
CHD4.Skin_Not_Sun_Exposed_Suprapubic	-0.00182240287085258	0.00014055495520938	0.250463	-0.343912
CHP1.Cells_Cultured_fibroblasts	-0.241429338810038	0.000545820576711523	0.29468	-1.13526
CHP1.Skin_Sun_Exposed_Lower_leg	-0.357253132111435	0.000513166571112145	0.177968	-1.07008
CHP1.Whole_Blood	-0.154348864950008	0.000306174329129919	0.243608	-0.650735
CLIC4.15314_49	0.00197422752918467	9.22443990317488e-06	0.0224835	-0.021539
CRAT.Cells_Cultured_fibroblasts	-0.613529791070945	0.000991197065148017	0.435739	-2.43396
CRAT.Cells_EBV-transformed_lymphocytes	-0.238711302288165	0.000526400060212151	0.480257	-1.22276
CRAT.Skin_Not_Sun_Exposed_Suprapubic	-0.179179880512163	0.000345470122755712	0.224047	-0.832449
CRAT.Whole_Blood	-0.81203876479724	0.00139766986954575	1.08879	-3.47231
CRCT1.Skin_Not_Sun_Exposed_Suprapubic	0.221460616110314	0.000312199911751395	0.657997	-0.0365058
CRCT1.Skin_Sun_Exposed_Lower_leg	0.0602322339647979	0.000129216037249077	0.336101	-0.166832
CRNN.Skin_Not_Sun_Exposed_Suprapubic	0.233541208310003	0.000471084806378266	1.16546	-0.371608
CRNN.Skin_Sun_Exposed_Lower_leg	0.349978575447689	0.000767875469813555	1.95076	-0.496073
CSF3.4840_73	-0.00519183247790032	2.70602888850831e-05	0.0315679	-0.0432682
D2HGDH.Cells_Cultured_fibroblasts	1.05786336603729	0.00149039352444767	2.85534	-1.63587
D2HGDH.Cells_EBV-transformed_lymphocytes	0.928531395646977	0.0010422533015557	2.2889	-0.817716
D2HGDH.Skin_Not_Sun_Exposed_Suprapubic	0.979716281692283	0.00123733563334551	2.3103	-0.481463
D2HGDH.Skin_Sun_Exposed_Lower_leg	0.919853319364847	0.00128808153134223	2.29542	-0.81864
D2HGDH.Whole_Blood	0.647449767845215	0.000856538691042949	1.52755	-0.470796
DCST2.Skin_Sun_Exposed_Lower_leg	0.0139805119499072	0.000269794236355949	0.458458	-0.408817
DDX6.Cells_Cultured_fibroblasts	-0.0949725345356645	0.000661318392791128	0.976215	-1.63728
DDX6.Skin_Sun_Exposed_Lower_leg	0.0986314543470673	0.000365494816567228	0.612216	-0.472228
DDX6.Whole_Blood	0.0365327077517481	0.000295141761516257	0.444002	-0.479071
DLL4.3305_6	-0.00464513527224751	1.02141210696089e-05	0.0281987	-0.0285574
DOK2.19578_19	-0.00220437683470634	3.2239532541661e-05	0.06787	-0.0727596
DTYMK.Whole_Blood	-0.00416332147691158	7.0794529008519e-05	0.130566	-0.133127
ECM1.3366_51	-1.66122194948191	0.000984959151659488	-0.305837	-3.09093
EFEMP2.Cells_Cultured_fibroblasts	0.288673880950585	0.000661200412021252	1.28344	-0.520128
EFEMP2.Whole_Blood	0.155103529969006	0.000477748246403533	1.2724	-0.360457
EFNA4.2614_28	-0.00131686059550194	4.98877610881959e-06	0.00729589	-0.0150923
EIF1AD.Cells_Cultured_fibroblasts	0.671138979827862	0.00124012106143982	2.51225	-1.17019
EIF1AD.Skin_Not_Sun_Exposed_Suprapubic	0.138152309039057	0.000634138286020109	1.15257	-0.903164
EIF1AD.Skin_Sun_Exposed_Lower_leg	0.170414217701741	0.000751223622046391	1.62587	-0.80305
ELAC1.Skin_Sun_Exposed_Lower_leg	0.0863451072683535	0.000192678245071519	0.419611	-0.280374
ENSA.Whole_Blood	-0.0569652290867619	0.00017973007870106	0.221801	-0.328644
EP300.Skin_Not_Sun_Exposed_Suprapubic	0.06635020003874	0.000216976133302025	0.474083	-0.245946
ERBB2.Skin_Not_Sun_Exposed_Suprapubic	0.143416209404305	0.000357476094942199	0.66885	-0.422147
ERBB2.Skin_Sun_Exposed_Lower_leg	0.120183493149787	0.000277089262195659	0.539504	-0.271612
ERBB3.2617_56	-0.0590536883231548	0.000104023535593164	0.0934451	-0.223236
FAM114A1.Cells_Cultured_fibroblasts	0.081793003444524	0.00019279186584947	0.607895	-0.182268
FAM114A1.Skin_Sun_Exposed_Lower_leg	0.718951742428107	0.00186911994353784	3.82675	-1.77112
FAM114A1.Whole_Blood	0.100949110226515	0.000254345497364457	0.613318	-0.155576
FAM117B.Whole_Blood	-0.506571412275644	0.00097843681379609	0.272097	-1.94654
FAM134C.Skin_Not_Sun_Exposed_Suprapubic	-0.0707018923820215	0.000162858834443071	0.224797	-0.503161
FAM134C.Skin_Sun_Exposed_Lower_leg	0.00974299602438524	9.7659842445046e-05	0.220815	-0.143336
FAM177A1.Skin_Not_Sun_Exposed_Suprapubic	0.261252904725454	0.000746356666557078	1.6301	-0.632789
FAM177A1.Skin_Sun_Exposed_Lower_leg	0.338180422916062	0.000755826726454847	1.78967	-0.534474
FBXW2.Cells_Cultured_fibroblasts	0.488649387701874	0.000773448944217865	1.77168	-0.424661
FCER1G.Skin_Sun_Exposed_Lower_leg	0.258233	0	0.258233	0.258233
FCER1G.Whole_Blood	0.717493	0	0.717493	0.717493
FLG2.Cells_Cultured_fibroblasts	0.245489639960683	0.000434104176240425	0.932994	-0.236685
FLG.Cells_Cultured_fibroblasts	1.32215281997249	0.00164351080461308	4.0445	-1.11939
FLG.Skin_Not_Sun_Exposed_Suprapubic	-0.15024478699086	0.0003053685946609	0.204244	-0.868262
FLG.Skin_Sun_Exposed_Lower_leg	-0.118675073635463	0.000351295931640116	0.375433	-0.950148
FOSL1.Skin_Sun_Exposed_Lower_leg	-0.0832107685948784	0.000245585296236219	0.30094	-0.617932
FOSL2.Cells_Cultured_fibroblasts	-0.0901103746891063	0.000307632430250893	0.524582	-0.903555
